gene_ID	protein_ID
gene_355	1978915
gene_356	1978916
gene_357	1978917
gene_358	1978918
gene_359	1978919
gene_360	1978920
gene_361	1978921
gene_362	1978922
gene_363	1978923
gene_364	1978924
gene_365	1978925
gene_366	1978926
gene_367	1978927
gene_368	1978928
gene_369	1978929
gene_370	1978930
gene_371	1978931
gene_372	1978932
gene_373	1978933
gene_374	1978934
gene_375	1978935
gene_376	1978936
gene_377	1978937
gene_378	1978938
gene_379	1978939
gene_380	1978940
gene_381	1978941
gene_382	1978942
gene_383	1978943
gene_384	1978944
gene_385	1978945
gene_386	1978946
gene_387	1978947
gene_388	1978948
gene_389	1978949
gene_390	1978950
gene_391	1978951
gene_392	1978952
gene_393	1978953
gene_394	1978954
gene_395	1978955
gene_396	1978956
gene_397	1978957
gene_398	1978958
gene_399	1978959
gene_400	1978960
gene_401	1978961
gene_402	1978962
gene_403	1978963
gene_404	1978964
gene_405	1978965
gene_406	1978966
gene_407	1978967
gene_408	1978968
gene_409	1978969
gene_410	1978970
gene_411	1978971
gene_412	1978972
gene_413	1978973
gene_414	1978974
gene_415	1978975
gene_416	1978976
gene_417	1978977
gene_418	1978978
gene_419	1978979
gene_420	1978980
gene_421	1978981
gene_422	1978982
gene_423	1978983
gene_424	1978984
gene_425	1978985
gene_426	1978986
gene_427	1978987
gene_428	1978988
gene_429	1978989
gene_430	1978990
gene_431	1978991
gene_432	1978992
gene_433	1978993
gene_434	1978994
gene_435	1978995
gene_436	1978996
gene_437	1978997
gene_438	1978998
gene_439	1978999
gene_440	1979000
gene_441	1979001
gene_442	1979002
gene_443	1979003
gene_444	1979004
gene_445	1979005
gene_446	1979006
gene_447	1979007
gene_448	1979008
gene_449	1979009
gene_450	1979010
gene_451	1979011
gene_452	1979012
gene_453	1979013
gene_454	1979014
gene_455	1979015
gene_456	1979016
gene_457	1979017
gene_458	1979018
gene_459	1979019
gene_460	1979020
gene_461	1979021
gene_462	1979022
gene_463	1979023
gene_464	1979024
gene_465	1979025
gene_466	1979026
gene_467	1979027
gene_468	1979028
gene_469	1979029
gene_470	1979030
gene_471	1979031
gene_472	1979032
gene_473	1979033
gene_474	1979034
gene_475	1979035
gene_476	1979036
gene_477	1979037
gene_478	1979038
gene_479	1979039
gene_480	1979040
gene_481	1979041
gene_482	1979042
gene_483	1979043
gene_484	1979044
gene_485	1979045
gene_486	1979046
gene_487	1979047
gene_488	1979048
gene_489	1979049
gene_490	1979050
gene_491	1979051
gene_492	1979052
gene_493	1979053
gene_494	1979054
gene_495	1979055
gene_496	1979056
gene_497	1979057
gene_498	1979058
gene_499	1979059
gene_500	1979060
gene_501	1979061
gene_502	1979062
gene_503	1979063
gene_504	1979064
gene_505	1979065
gene_506	1979066
gene_507	1979067
gene_508	1979068
gene_509	1979069
gene_510	1979070
gene_511	1979071
gene_512	1979072
gene_513	1979073
gene_514	1979074
gene_515	1979075
gene_516	1979076
gene_517	1979077
gene_518	1979078
gene_519	1979079
gene_520	1979080
gene_521	1979081
gene_522	1979082
gene_523	1979083
gene_524	1979084
gene_525	1979085
gene_526	1979086
gene_527	1979087
gene_528	1979088
gene_529	1979089
gene_530	1979090
gene_531	1979091
gene_532	1979092
gene_533	1979093
gene_534	1979094
gene_535	1979095
gene_536	1979096
gene_537	1979097
gene_538	1979098
gene_539	1979099
gene_540	1979100
gene_541	1979101
gene_542	1979102
gene_543	1979103
gene_544	1979104
gene_545	1979105
gene_546	1979106
gene_547	1979107
gene_548	1979108
gene_549	1979109
gene_550	1979110
gene_551	1979111
gene_552	1979112
gene_553	1979113
gene_554	1979114
gene_555	1979115
gene_556	1979116
gene_557	1979117
gene_558	1979118
gene_559	1979119
gene_560	1979120
gene_561	1979121
gene_562	1979122
gene_563	1979123
gene_564	1979124
gene_565	1979125
gene_566	1979126
gene_567	1979127
gene_568	1979128
gene_569	1979129
gene_570	1979130
gene_571	1979131
gene_572	1979132
gene_573	1979133
gene_574	1979134
gene_575	1979135
gene_576	1979136
gene_577	1979137
gene_578	1979138
gene_579	1979139
gene_580	1979140
gene_581	1979141
gene_582	1979142
gene_583	1979143
gene_584	1979144
gene_585	1979145
gene_586	1979146
gene_587	1979147
gene_588	1979148
gene_589	1979149
gene_590	1979150
gene_591	1979151
gene_592	1979152
gene_593	1979153
gene_594	1979154
gene_595	1979155
gene_596	1979156
gene_597	1979157
gene_598	1979158
gene_599	1979159
gene_600	1979160
gene_601	1979161
gene_602	1979162
gene_603	1979163
gene_604	1979164
gene_605	1979165
gene_606	1979166
gene_607	1979167
gene_608	1979168
gene_609	1979169
gene_610	1979170
gene_611	1979171
gene_612	1979172
gene_613	1979173
gene_614	1979174
gene_615	1979175
gene_616	1979176
gene_617	1979177
gene_618	1979178
gene_619	1979179
gene_620	1979180
gene_621	1979181
gene_622	1979182
gene_623	1979183
gene_624	1979184
gene_625	1979185
gene_626	1979186
gene_627	1979187
gene_628	1979188
gene_629	1979189
gene_630	1979190
gene_631	1979191
gene_632	1979192
gene_633	1979193
gene_634	1979194
gene_635	1979195
gene_636	1979196
gene_637	1979197
gene_638	1979198
gene_639	1979199
gene_640	1979200
gene_641	1979201
gene_642	1979202
gene_643	1979203
gene_644	1979204
gene_645	1979205
gene_646	1979206
gene_647	1979207
gene_648	1979208
gene_649	1979209
gene_650	1979210
gene_651	1979211
gene_652	1979212
gene_653	1979213
gene_654	1979214
gene_655	1979215
gene_656	1979216
gene_657	1979217
gene_658	1979218
gene_659	1979219
gene_660	1979220
gene_661	1979221
gene_662	1979222
gene_663	1979223
gene_664	1979224
gene_665	1979225
gene_666	1979226
gene_667	1979227
gene_668	1979228
gene_669	1979229
gene_670	1979230
gene_671	1979231
gene_672	1979232
gene_673	1979233
gene_674	1979234
gene_675	1979235
gene_676	1979236
gene_677	1979237
gene_678	1979238
gene_679	1979239
gene_680	1979240
gene_681	1979241
gene_682	1979242
gene_683	1979243
gene_684	1979244
gene_685	1979245
gene_686	1979246
gene_687	1979247
gene_688	1979248
gene_689	1979249
gene_690	1979250
gene_691	1979251
gene_692	1979252
gene_693	1979253
gene_694	1979254
gene_695	1979255
gene_696	1979256
gene_697	1979257
gene_698	1979258
gene_699	1979259
gene_700	1979260
gene_701	1979261
gene_702	1979262
gene_703	1979263
gene_704	1979264
gene_705	1979265
gene_706	1979266
gene_707	1979267
gene_708	1979268
gene_709	1979269
gene_710	1979270
gene_711	1979271
gene_712	1979272
gene_713	1979273
gene_714	1979274
gene_715	1979275
gene_716	1979276
gene_717	1979277
gene_718	1979278
gene_719	1979279
gene_720	1979280
gene_721	1979281
gene_722	1979282
gene_723	1979283
gene_724	1979284
gene_725	1979285
